Date,Anomaly,Region
185001,-2.38,asia
185002,-0.59,asia
185003,0.62,asia
185004,-1.63,asia
185005,-1.43,asia
185006,-0.91,asia
185007,-0.35,asia
185008,-0.14,asia
185009,-0.75,asia
185010,-2.19,asia
185011,-1.63,asia
185012,0.23,asia
185101,-1.29,asia
185102,-0.53,asia
185103,-2.49,asia
185104,-2.5,asia
185105,-1.11,asia
185106,-0.54,asia
185107,-0.1,asia
185108,-0.09,asia
185109,-0.71,asia
185110,-0.47,asia
185111,-1.36,asia
185112,0.05,asia
185201,-0.3,asia
185202,-1.53,asia
185203,-1.68,asia
185204,-1.23,asia
185205,-0.67,asia
185206,-0.42,asia
185207,-0.32,asia
185208,-0.83,asia
185209,-0.67,asia
185210,-0.82,asia
185211,-1.25,asia
185212,0.87,asia
185301,-1.44,asia
185302,-2.13,asia
185303,-1.34,asia
185304,-2.03,asia
185305,-0.69,asia
185306,-0.39,asia
185307,0.1,asia
185308,-0.11,asia
185309,-0.34,asia
185310,-0.85,asia
185311,-0.83,asia
185312,-0.56,asia
185401,-1.51,asia
185402,-0.71,asia
185403,0.22,asia
185404,-0.35,asia
185405,-0.45,asia
185406,-0.52,asia
185407,-0.01,asia
185408,0.13,asia
185409,-0.28,asia
185410,0.53,asia
185411,0.23,asia
185412,0.86,asia
185501,-0.12,asia
185502,0.61,asia
185503,-0.12,asia
185504,0.33,asia
185505,-0.48,asia
185506,-0.42,asia
185507,-0.78,asia
185508,-0.29,asia
185509,-0.54,asia
185510,-0.74,asia
185511,-1.64,asia
185512,-0.94,asia
185601,0.62,asia
185602,-1.29,asia
185603,-0.84,asia
185604,-1.12,asia
185605,-0.95,asia
185606,-0.53,asia
185607,-0.02,asia
185608,-0.88,asia
185609,-0.91,asia
185610,-1.14,asia
185611,0.02,asia
185612,1.58,asia
185701,0.31,asia
185702,-1.62,asia
185703,-0.93,asia
185704,-1.57,asia
185705,-1.46,asia
185706,-0.82,asia
185707,-0.49,asia
185708,-0.45,asia
185709,-1,asia
185710,-1.27,asia
185711,-0.81,asia
185712,0.73,asia
185801,-0.05,asia
185802,-0.29,asia
185803,-0.75,asia
185804,-0.15,asia
185805,-0.67,asia
185806,-0.77,asia
185807,-0.17,asia
185808,-0.77,asia
185809,-0.99,asia
185810,-0.63,asia
185811,-0.4,asia
185812,-0.57,asia
185901,-0.35,asia
185902,-0.53,asia
185903,-0.28,asia
185904,0.35,asia
185905,-0.27,asia
185906,-0.02,asia
185907,-0.46,asia
185908,-0.38,asia
185909,-0.71,asia
185910,-0.79,asia
185911,0.46,asia
185912,0.87,asia
186001,-1.81,asia
186002,-1.33,asia
186003,-3.22,asia
186004,-1.27,asia
186005,-0.87,asia
186006,-0.26,asia
186007,-0.29,asia
186008,-0.33,asia
186009,-0.36,asia
186010,-0.87,asia
186011,-1.33,asia
186012,-2.69,asia
186101,-2.76,asia
186102,-2.43,asia
186103,-0.6,asia
186104,-0.8,asia
186105,-0.55,asia
186106,-0.52,asia
186107,-0.16,asia
186108,-0.15,asia
186109,-0.81,asia
186110,-1.47,asia
186111,-0.27,asia
186112,-0.72,asia
186201,-2.35,asia
186202,-1.96,asia
186203,-1.81,asia
186204,-1.58,asia
186205,-1.25,asia
186206,-0.79,asia
186207,-0.59,asia
186208,-0.61,asia
186209,-0.69,asia
186210,-1.26,asia
186211,-1.2,asia
186212,-2.89,asia
186301,-0.25,asia
186302,-0.11,asia
186303,-0.34,asia
186304,-0.03,asia
186305,-0.66,asia
186306,-0.49,asia
186307,-0.54,asia
186308,-0.4,asia
186309,-1.01,asia
186310,-0.92,asia
186311,0.02,asia
186312,0.25,asia
186401,-1.68,asia
186402,-1.64,asia
186403,-1.21,asia
186404,-0.68,asia
186405,-0.64,asia
186406,-0.25,asia
186407,-0.33,asia
186408,-0.6,asia
186409,-0.98,asia
186410,-0.8,asia
186411,-1.29,asia
186412,-2.39,asia
186501,1.46,asia
186502,-1.59,asia
186503,-1.38,asia
186504,-1.21,asia
186505,-0.65,asia
186506,-0.31,asia
186507,-0.02,asia
186508,-0.34,asia
186509,-0.09,asia
186510,-0.3,asia
186511,-0.02,asia
186512,-0.2,asia
186601,1.2,asia
186602,-0.33,asia
186603,-1.13,asia
186604,-1.25,asia
186605,-0.61,asia
186606,-0.84,asia
186607,-0.06,asia
186608,-0.38,asia
186609,0.08,asia
186610,-0.87,asia
186611,0.45,asia
186612,1.72,asia
186701,-0.4,asia
186702,-1.17,asia
186703,-0.3,asia
186704,-1.02,asia
186705,-1.4,asia
186706,-0.49,asia
186707,-0.27,asia
186708,-0.51,asia
186709,-0.39,asia
186710,-0.63,asia
186711,1.24,asia
186712,1.34,asia
186801,-0.63,asia
186802,-0.22,asia
186803,-0.71,asia
186804,0.04,asia
186805,-0.35,asia
186806,-0.54,asia
186807,-0.21,asia
186808,-0.3,asia
186809,-0.28,asia
186810,-0.41,asia
186811,-1.35,asia
186812,-0.2,asia
186901,-0.49,asia
186902,1.43,asia
186903,-0.92,asia
186904,-0.71,asia
186905,-0.51,asia
186906,-0.38,asia
186907,-0.15,asia
186908,0.09,asia
186909,0.06,asia
186910,-0.51,asia
186911,0.69,asia
186912,-1.32,asia
187001,-2.45,asia
187002,-2.35,asia
187003,-0.16,asia
187004,-0.87,asia
187005,-0.57,asia
187006,0.19,asia
187007,-0.05,asia
187008,-0.56,asia
187009,-0.12,asia
187010,-1.17,asia
187011,-1.82,asia
187012,-2.63,asia
187101,-2.18,asia
187102,-2.56,asia
187103,0.17,asia
187104,-0.49,asia
187105,-0.8,asia
187106,-0.36,asia
187107,-0.13,asia
187108,-0.08,asia
187109,-0.4,asia
187110,-0.76,asia
187111,-1.12,asia
187112,-0.61,asia
187201,-2.76,asia
187202,-2.72,asia
187203,-0.26,asia
187204,-1.27,asia
187205,-0.24,asia
187206,-0.9,asia
187207,-0.02,asia
187208,-0.01,asia
187209,-0.38,asia
187210,-0.59,asia
187211,-0.71,asia
187212,-0.95,asia
187301,-1.2,asia
187302,-0.09,asia
187303,-1.23,asia
187304,-1.26,asia
187305,-0.57,asia
187306,-0.28,asia
187307,-0.19,asia
187308,-0.33,asia
187309,-0.74,asia
187310,-0.03,asia
187311,0.35,asia
187312,0.2,asia
187401,0.43,asia
187402,-0.2,asia
187403,-0.9,asia
187404,-0.43,asia
187405,0.21,asia
187406,0.09,asia
187407,-0.39,asia
187408,-0.19,asia
187409,0.15,asia
187410,-0.9,asia
187411,-0.11,asia
187412,0.15,asia
187501,0.08,asia
187502,-0.17,asia
187503,0.48,asia
187504,0.11,asia
187505,-0.11,asia
187506,0.17,asia
187507,0.11,asia
187508,-0.49,asia
187509,-1.06,asia
187510,-1.29,asia
187511,-1.26,asia
187512,-1.94,asia
187601,-0.35,asia
187602,-0.9,asia
187603,0.36,asia
187604,-0.64,asia
187605,-0.84,asia
187606,0.13,asia
187607,-0.37,asia
187608,-0.35,asia
187609,-1,asia
187610,-0.17,asia
187611,-0.06,asia
187612,-1.62,asia
187701,0.04,asia
187702,-1.21,asia
187703,0.86,asia
187704,-0.97,asia
187705,-0.26,asia
187706,-0.13,asia
187707,0.23,asia
187708,0.03,asia
187709,-0.35,asia
187710,-0.04,asia
187711,0.43,asia
187712,-1.68,asia
187801,-1.61,asia
187802,-0.34,asia
187803,1.24,asia
187804,-0.69,asia
187805,-0.57,asia
187806,0.1,asia
187807,0.47,asia
187808,0.07,asia
187809,0.26,asia
187810,-0.12,asia
187811,-1.2,asia
187812,-0.43,asia
187901,-0.4,asia
187902,-0.45,asia
187903,0.14,asia
187904,-0.94,asia
187905,-0.16,asia
187906,0.07,asia
187907,0.59,asia
187908,-0.32,asia
187909,-0.35,asia
187910,-0.06,asia
187911,-0.84,asia
187912,-0.41,asia
188001,-1.73,asia
188002,-2.18,asia
188003,0.13,asia
188004,-1.04,asia
188005,0.12,asia
188006,0.1,asia
188007,-0.59,asia
188008,0.21,asia
188009,-0.57,asia
188010,-1.04,asia
188011,0.57,asia
188012,0.75,asia
188101,0.47,asia
188102,-0.38,asia
188103,-0.56,asia
188104,0.24,asia
188105,-0.14,asia
188106,-1.15,asia
188107,-0.05,asia
188108,-0.25,asia
188109,-0.79,asia
188110,-0.67,asia
188111,-0.77,asia
188112,-1.04,asia
188201,0.75,asia
188202,-0.01,asia
188203,0.04,asia
188204,-0.68,asia
188205,0.07,asia
