Year,Anomaly,Region
185001,-1.23,africa
185002,-1.77,africa
185003,-1.19,africa
185004,-1.07,africa
185005,-1.24,africa
185006,-0.48,africa
185007,-0.41,africa
185008,-0.53,africa
185009,0.19,africa
185010,-0.7,africa
185011,-1.3,africa
185012,-0.41,africa
185101,-1.24,africa
185102,-0.71,africa
185103,-0.61,africa
185104,-0.62,africa
185105,-0.76,africa
185106,-0.21,africa
185107,0.15,africa
185108,-0.39,africa
185109,-0.81,africa
185110,-0.13,africa
185111,-1.42,africa
185112,-0.79,africa
185201,-0.88,africa
185202,-1.0,africa
185203,-0.88,africa
185204,-0.7,africa
185205,-0.62,africa
185206,-0.19,africa
185207,-0.06,africa
185208,0.29,africa
185209,0.33,africa
185210,0.12,africa
185211,-0.3,africa
185212,-0.92,africa
185301,-1.37,africa
185302,-0.23,africa
185303,-0.89,africa
185304,-0.7,africa
185305,-0.66,africa
185306,-0.87,africa
185307,-0.29,africa
185308,-0.46,africa
185309,-0.52,africa
185310,-0.4,africa
185311,-0.99,africa
185312,-0.81,africa
185401,-0.63,africa
185402,-1.2,africa
185403,-1.26,africa
185404,-1.29,africa
185405,-0.62,africa
185406,-0.61,africa
185407,-0.84,africa
185408,-0.98,africa
185409,-0.63,africa
185410,-0.53,africa
185411,-0.57,africa
185412,-0.8,africa
185501,-1.08,africa
185502,-0.57,africa
185503,-0.62,africa
185504,-1.09,africa
185505,-0.8,africa
185506,-0.91,africa
185507,-0.55,africa
185508,-1.04,africa
185509,-0.57,africa
185510,-0.47,africa
185511,-0.32,africa
185512,-0.85,africa
185601,-0.41,africa
185602,-0.53,africa
185603,-1.26,africa
185604,-1.35,africa
185605,-0.74,africa
185606,-0.67,africa
185607,-1.0,africa
185608,-1.18,africa
185609,-0.63,africa
185610,-1.03,africa
185611,-1.19,africa
185612,-1.35,africa
185701,-0.56,africa
185702,-1.52,africa
185703,-0.39,africa
185704,-0.07,africa
185705,-0.77,africa
185706,-0.39,africa
185707,-0.86,africa
185708,-0.92,africa
185709,-0.62,africa
185710,-0.59,africa
185711,-1.16,africa
185712,-1.27,africa
185801,-1.35,africa
185802,-0.94,africa
185803,0.12,africa
185804,-0.77,africa
185805,-1.48,africa
185806,-0.38,africa
185807,-1.19,africa
185808,-0.46,africa
185809,-1.24,africa
185810,-0.33,africa
